Order_ID,Customer_Name,Category,Region,Sales,Quantity,Profit,GST,Discounted_Sales,Profit_Margin
CA-2016-152156,Claire Gute,Furniture,South,731.94,3,219.582,131.75,658.75,30.0
US-2015-108966,Sean O'Donnell,Furniture,South,957.5775,5,-383.031,172.36,861.82,-40.0
CA-2014-115812,Brosina Hoffman,Technology,West,907.152,6,90.7152,163.29,816.44,10.0
CA-2014-115812,Brosina Hoffman,Furniture,West,1706.184,9,85.3092,307.11,1535.57,5.0
CA-2014-115812,Brosina Hoffman,Technology,West,911.424,4,68.3568,164.06,820.28,7.5
CA-2014-105893,Pete Kriz,Office Supplies,Central,665.88,6,13.3176,119.86,599.29,2.0
CA-2015-106320,Emily Burns,Furniture,West,1044.63,3,240.2649,188.03,940.17,23.0
US-2015-150630,Tracy Blumstein,Furniture,East,3083.43,7,-1665.0522,555.02,2775.09,-54.0
CA-2016-117590,Gene Hale,Technology,Central,1097.544,7,123.4737,197.56,987.79,11.25
CA-2015-117415,Steve Nguyen,Furniture,Central,532.3992,3,-46.9764,95.83,479.16,-8.82
CA-2016-105816,Janet Molinari,Technology,East,1029.95,5,298.6855,185.39,926.96,29.0
CA-2014-106376,Brendan Sweed,Office Supplies,West,1113.024,8,111.3024,200.34,1001.72,10.0
US-2015-134026,Joel Eaton,Furniture,South,831.936,8,-114.3912,149.75,748.74,-13.75
CA-2015-110457,Dave Kipp,Furniture,West,787.53,3,165.3813,141.76,708.78,21.0
US-2014-152030,Alan Dominguez,Furniture,Central,600.558,3,-8.5794,108.1,540.5,-1.43
US-2014-134614,Philip Fox,Furniture,Central,617.7,6,-407.682,111.19,555.93,-66.0
CA-2017-155376,Sandra Glassco,Office Supplies,Central,839.43,3,218.2518,151.1,755.49,26.0
CA-2015-110744,Helen Andreada,Office Supplies,West,671.93,7,20.1579,120.95,604.74,3.0
CA-2016-114489,Justin Ellison,Furniture,Central,1951.84,8,585.552,351.33,1756.66,30.0
CA-2016-114104,Nora Paige,Technology,Central,944.93,7,236.2325,170.09,850.44,25.0
CA-2014-139892,Becky Martin,Technology,Central,8159.952,8,-1359.992,1468.79,7343.96,-16.67
CA-2014-139892,Becky Martin,Furniture,Central,1740.06,9,-24.858,313.21,1566.05,-1.43
CA-2014-158274,Robert Marley,Technology,South,503.96,4,131.0296,90.71,453.56,26.0
CA-2015-102281,Mark Packer,Furniture,East,899.136,4,112.392,161.84,809.22,12.5
CA-2015-102281,Mark Packer,Furniture,East,626.352,3,46.9764,112.74,563.72,7.5
CA-2015-146262,Victoria Wilson,Technology,East,1188.0,9,-950.4,213.84,1069.2,-80.0
CA-2015-163055,David Smith,Furniture,Central,622.45,5,136.939,112.04,560.21,22.0
