customer_id,customer_name,segment,country,city,state,postal_code,region
AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407.0,Central
AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204.0,West
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027.0,South
AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013.0,East
AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,98103.0,West
AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009.0,East
AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023.0,West
AB-10150,Aimee Bixby,Consumer,United States,Long Beach,New York,11561.0,East
AB-10165,Alan Barnes,Consumer,United States,Los Angeles,California,90036.0,West
AB-10255,Alejandro Ballentine,Home Office,United States,Lorain,Ohio,44052.0,East
AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,85705.0,West
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122.0,West
AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407.0,Central
AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009.0,East
AC-10660,Anna Chung,Consumer,United States,Huntsville,Texas,77340.0,Central
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041.0,Central
AF-10870,Art Ferguson,Consumer,United States,College Station,Texas,77840.0,Central
AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,40214.0,South
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084.0,West
AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,90049.0,West
AG-10330,Alex Grayson,Consumer,United States,Stockton,California,95207.0,West
AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,45231.0,East
AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East
AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710.0,South
AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036.0,Central
AG-10765,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East
AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,85705.0,West
AH-10030,Aaron Hawkins,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East
AH-10075,Adam Hart,Corporate,United States,New York City,New York,10011.0,East
AH-10120,Adrian Hane,Home Office,United States,Tucson,Arizona,85705.0,West
